lignee	replicat	n	portee	profondeur	largeur	pn_ps_term	pn_ps_int	pi	n_syn_term	n_nonsyn_term
L6	7	19	24	34.05263157894737	215.23976608187135	0.8691795605853423	0.7982514025153632	5.500720074835618e-05	242	405
L6	8	29	64	34.172413793103445	199.79310344827587	0.8315858723722254	0.7449714278148352	5.105961388815153e-05	381	610
L6	9	38	39	35.39473684210526	214.13940256045518	0.9847139348572744	0.7633392713644783	5.472598915711294e-05	482	863
L6	10	38	53	34.86842105263158	229.14082503556187	0.940197794485968	0.8730862340142723	5.855978935407662e-05	488	837
L6	11	29	60	33.58620689655172	195.4630541871921	0.8768177915184708	0.766948695571828	4.99530159146892e-05	359	615
L6	12	41	42	32.97560975609756	218.67073170731706	0.8607327734074924	0.955978316006049	5.58840267101899e-05	527	825
L6	13	48	48	33.854166666666664	249.80230496453902	0.82788447319856	0.644725521970748	6.384008766930092e-05	623	1002
L6	14	50	56	35.2	231.2342857142857	0.8774605837487326	0.8926986027242411	5.9094799282351446e-05	680	1080
L6	15	43	50	35.674418604651166	236.4717607973422	0.8636619842484139	0.7826788313071539	6.043330121697359e-05	574	960
L6	16	26	50	33.03846153846154	196.04923076923077	0.8537191664129147	0.7250946865120195	5.01028206348352e-05	321	538
L6	17	45	67	35.55555555555556	211.48282828282828	0.8642877584263875	0.7643612821241604	5.404706854103701e-05	590	1010
L6	18	29	64	34.62068965517241	202.85221674876848	0.948302625016513	0.7038539633945166	5.184140836087065e-05	351	653
L6	19	30	31	33.43333333333333	189.5609195402299	0.826876122578385	0.720788054622308	4.844465195723262e-05	385	618
L6	20	24	24	34.0	222.0036231884058	0.8282870952372315	0.834963659195482	5.6735788603960967e-05	314	502
L6	21	48	51	33.395833333333336	227.93262411347519	0.8739175448421556	0.9059017848915598	5.825101857312209e-05	620	983
L6	22	21	43	34.857142857142854	194.62857142857143	0.8869529372214112	0.7111207066397986	4.973975346110044e-05	271	461
L6	23	15	16	35.733333333333334	178.13333333333333	0.9674093637471727	0.9419849771812582	4.552419009279813e-05	195	341
L6	24	38	44	33.921052631578945	196.34281650071125	0.846325045283511	0.7604499097888944	5.0177850122008384e-05	489	800
L6	25	43	47	32.55813953488372	224.24141749723145	0.8823823606228764	0.8844080554992287	5.730768478755131e-05	541	859
L6	26	42	44	32.80952380952381	196.41347270615563	0.851304430494529	0.7744937733095046	5.0195907194582595e-05	522	856
L6	27	41	46	35.48780487804878	223.72682926829268	0.873832317013931	0.9016234424803591	5.717617536191289e-05	562	893
L6	28	46	64	33.0	254.231884057971	0.8759372037303007	0.897144379264829	6.497212173000722e-05	586	932
L6	29	17	53	34.411764705882355	185.38235294117646	0.8639303625718265	0.7363270336329671	4.737676726316043e-05	217	368
L6	30	20	25	35.65	194.76315789473685	0.9752384767628628	0.8290006104391924	4.9774148707374575e-05	260	453
L6	31	26	54	34.57692307692308	191.36615384615385	0.9483141075016793	0.6737387157933747	4.8906002049139e-05	315	584
L6	32	43	48	34.0	223.6234772978959	0.8245605631191845	0.9597333358292406	5.714976247972646e-05	585	877
L6	33	47	58	35.659574468085104	235.13413506012952	0.8869295686246718	0.8739675221191229	6.009145431390161e-05	645	1031
L6	34	33	44	33.06060606060606	192.2689393939394	0.871569667094957	0.7623950190893373	4.913672013048492e-05	410	681
L6	35	19	19	32.94736842105263	219.66081871345028	0.8164134827568211	0.8430926138066384	5.613705576562938e-05	244	382
L6	36	17	36	33.64705882352941	170.35294117647058	0.9396091050203098	0.764396395557172	4.353581405493023e-05	202	370
L6	37	19	25	32.68421052631579	154.6315789473684	0.8927617891509244	0.8904049733922954	3.95180242946268e-05	226	395
L6	38	40	57	34.6	239.18974358974359	0.9053473700978678	0.8581009567117303	6.112791554319123e-05	528	856
L6	39	22	39	35.86363636363637	235.34199134199133	0.8575467385785049	0.969196939693754	6.0144574573374616e-05	304	485
L7	0	16	22	35.5625	170.225	0.8868938218027118	0.7644508788881764	4.350311709513414e-05	204	365
L7	1	25	49	33.56	215.15333333333334	0.8039569356909799	0.9020035699185623	5.498511178386505e-05	320	519
L7	2	23	51	34.30434782608695	192.01581027667984	0.8392448411406683	0.9356519871213624	4.90720298345335e-05	286	503
L7	3	16	23	33.0625	206.19166666666666	0.9246183858794681	0.8672012707840204	5.2694846344784065e-05	183	346
